date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:57	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a5f6ed3-6c7db%22	https://btech.id/static/website/plugins/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0&f0a0f1ee5040	btech.id/static/website/plugins/font-awesome/fonts/fontawesome-webfonta6a5.svg	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:58	130906/130906	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225db655a4-1ff5a%22	https://btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-brands-400.eot?be723e8ea562	btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-brands-400f92e.eot	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:59	130906/130906	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225db655a4-1ff5a%22	https://btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-brands-400.eot?&be723e8ea562	btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-brands-4001ef7.eot	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:59	75336/75336	---M--	200	added ('OK')	application/octet-stream	etag:%225db655a4-12648%22	https://btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-brands-400.woff2?be723e8ea562	btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-brands-400f92e.woff2	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:03:00	88428/88428	---M--	200	added ('OK')	application/font-woff	etag:%225db655a4-1596c%22	https://btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-brands-400.woff?be723e8ea562	btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-brands-400f92e.woff	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:03:01	130600/130600	---M--	200	added ('OK')	application/octet-stream	etag:%225db655a4-1fe28%22	https://btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-brands-400.ttf?be723e8ea562	btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-brands-400f92e.ttf	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:03:03	700503/700503	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225db655a4-ab057%22	https://btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-brands-400.svg?be723e8ea562	btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-brands-400f92e.svg	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:03:04	34394/34394	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225db655a4-865a%22	https://btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-regular-400.eot?be723e8ea562	btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-regular-400f92e.eot	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:03:05	34394/34394	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225db655a4-865a%22	https://btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-regular-400.eot?&be723e8ea562	btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-regular-4001ef7.eot	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:03:05	13584/13584	---M--	200	added ('OK')	application/octet-stream	etag:%225db655a4-3510%22	https://btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-regular-400.woff2?be723e8ea562	btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-regular-400f92e.woff2	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:03:06	16804/16804	---M--	200	added ('OK')	application/font-woff	etag:%225db655a4-41a4%22	https://btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-regular-400.woff?be723e8ea562	btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-regular-400f92e.woff	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:03:07	34096/34096	---M--	200	added ('OK')	application/octet-stream	etag:%225db655a4-8530%22	https://btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-regular-400.ttf?be723e8ea562	btech.id/static/website/plugins/fontawesome-free-5.11.2-web/webfonts/fa-regular-400f92e.ttf	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
